Product_Name,Product_Price,Off,Product_Rating,Solds,Local,Original_Price
Panela Grill Elétrico Multiuso Easy Red Antiaderente 220v,"159,21",-10%,5.0,3 vendidos,São Paulo,176.9
Fogão 5 Bocas Preto com Frente em Vidro Espelhado e Timer Digital Dako Diplomata Glass Grill Style Bivolt,"3.499,00", ,4.8,121 vendidos,Paraná,3499.0
Mini Projetor LED Pico Ultra Portátil YG300 Pro Para Home HDMI USB lcd projektor,"106,00",-38%,4.6,"2,6mil vendidos", ,170.9677419354839
Mixer E Processador 3 Em 1 Mallory Trikxer 500w Inox,"179,90",-32%,4.9,6mil vendidos,Espírito Santo,264.5588235294118
Fogão 5 bocas Dako Magister Style com Mesa de Vidro e Tripla Chama - Bivolt,"2.369,00", ,4.8,115 vendidos,Paraná,2369.0
Ventilador de Parede Oscilante 50cm 130w Good Ponente Turbão LCG,"177,70",-9%,4.8,985 vendidos,Santa Catarina,195.2747252747253
Sanduicheira Minigrill Gourmet 127V com 750W Chapa Dupla e com Revestimento Antiaderente Preta Multilaser - CE043,"99,90",-26%, , ,Espírito Santo,135.0
Desumidificador de Ar Elétrico Led 127-220v Antimofo 2200ml Tubrax,"719,90", ,4.8,267 vendidos,Santa Catarina,719.9
Ventilador De Teto Com Lâmpada Bulbo Led Integradas Com Controle Remoto 36W Bivolt,"113,03",-5%, ,2 vendidos,São Paulo,118.9789473684211
PANELA ELETRICA AGRATTO MANGIARE APEQ01I-01 PRETA QUADRADA 30CM 1500W 127V,"159,99",-6%,4.8,424 vendidos,Espírito Santo,170.2021276595745
Panela Eletrica Pressao Itatiaia Midi 5 Lts Ppmid1 127v,"450,00", ,4.8,332 vendidos,Espírito Santo,450.0
Ventilador ESGOTADO,"149,54",-21%,5.0,3 vendidos,São Paulo,189.2911392405063
Fogão 5 bocas Dako Supreme Glass Branco com mesa de vidro - Bivolt,"2.149,00", ,5.0,1 vendidos,Paraná,2149.0
Ventilador de Parede Ventisol 50cm Steel 6 Pás - Bivolt*,"206,90",-28%,4.8,"2,8mil vendidos",Espírito Santo,287.3611111111111
CHALEIRA ELETRICA THERMO ON CEL388 PRETO 1.7L 127V CADENCE,"119,00",-21%,4.9,"1,2mil vendidos",Espírito Santo,150.632911392405
