Product_Name,Product_Price,Off,Product_Rating,Solds,Local,Original_Price
Projetor Led - Betec BT960 - 3800 Lumens - Full HD Nativo - Até 250 Polegadas,"1.389,00",-38%,5.0,18 vendidos,São Paulo,2240.322580645161
"𝗙𝗥𝗜𝗧𝗔𝗗𝗘𝗜𝗥𝗔 𝟮 𝗘𝗠 𝟭 𝗔𝗜𝗥𝗙𝗥𝗬𝗘𝗥 𝗗𝗜𝗚 𝗚𝗥𝗜𝗟𝗟 𝟱 𝗟𝗜𝗧𝗥𝗢𝗦 𝗖/ 𝗖𝗘𝗦𝗧𝗢 𝗗𝗘 𝗩𝗜𝗗𝗥𝗢 𝗩𝗜𝗦Ã𝗢 𝟯𝟲𝟬º,𝟭.𝟱𝟬𝟬𝗪, 𝗚𝗜𝗥𝗔𝗧Ó𝗥𝗜𝗔, 𝟭𝟮𝟳𝗩.","1.119,90",-44%, , ,Minas Gerais,1999.821428571428
Aquecedor Britânia AB1500P 2 em 1,"99,90",-17%,4.8,"5,9mil vendidos",Santa Catarina,120.3614457831325
Centrífuga de Roupas Britânia BCR1 Light Cesto Extragrande 15Kg,"449,90",-8%,4.8,"1,3mil vendidos",Santa Catarina,489.0217391304348
Processador Compacto Britânia 300W BMP900P Turbo,"119,90",-8%,4.9,"8,8mil vendidos",Santa Catarina,130.3260869565217
Mini Máquina Costura Portátil Com Pedal Elétrica Costureira Bivolt 110V/220V,"66,87",-44%,5.0,93 vendidos,São Paulo,119.4107142857143
Sanduicheira e Mini Grill Multilaser Gourmet 220V 750W Vermelha - CE149,"117,29",-15%, , ,Espírito Santo,137.9882352941177
Fogão Elétrico Portátil Elgin 2 Bocas - 127v,"149,90", ,4.7,626 vendidos,Espírito Santo,149.9
Suporte Pedestal Rack de Chao Tv 37 á 70 Polegadas Aquário,"528,90",-12%,4.8,61 vendidos,São Paulo,601.0227272727273
Cooktop 5 Bocas Preto com Mesa de Vidro Atlas U Top Bivolt,"639,00", ,5.0,5 vendidos,Paraná,639.0
Forno Elétrico 43L Britânia BFE43 Dupla Resistência,"299,90",-23%,4.8,"2,6mil vendidos",Santa Catarina,389.4805194805194
[Kit3/1] Controle Remoto Código 433MHz Universal para Porta de Garagem/Portão Automático Elétrico para Carros Elétricos,"9,96",-78%,4.8,331 vendidos,Internacional,45.27272727272728
Mini Projetor de Imagens 800ML Bi Volt 12V 20W - PRETO,"245,10",-5%, , ,São Paulo,258.0
Mini máquina de lavar roupa 11L dobrável portátil moderna máquina de lavar automática roupa interior de viagem,"159,99",-59%,4.6,6mil vendidos,São Paulo,390.2195121951219
Projetor HY300 Wi-fi Lançamento Portátil com Android 11 USB HDtv Bluetooth Smart Cinema,"286,25",-43%,4.9,360 vendidos,São Paulo,502.1929824561403
Mini Máquina De Costura Multifuncional Doméstica Com Pedal Portátil Composta de 12 Pontos - Bivolt,"204,99",-29%,4.7,934 vendidos,São Paulo,288.7183098591549
Aspirador De Pó Vertical 2 Em 1 Bas1290v 1250w Britânia,"188,19",-1%,4.9,"1,5mil vendidos",Minas Gerais,190.0909090909091
1Set 4200Pa Aspirador De Pó Portátil Sem Fio Potente Ciclone De Sucção Recarregável 6053 Carga Para Pêlos De Animais Domésticos,"105,85",-40%,4.8,547 vendidos,Internacional,176.4166666666667
Mini Processador E Triturador E Moedor Mallory 130w Premium (220V),"187,68",-5%,4.9,71 vendidos,Ceará,197.5578947368421
Microondas Philco PMO30EP 28 Litros Preto Com Porta Espelhada 1400w,"799,90", ,4.8,239 vendidos,Espírito Santo,799.9
Aspirador de Pó Vertical e Portátil WAP HIGH SPEED BLACK 1300W 2 em 1 Filtro HEPA,"209,90", ,4.9,"1,3mil vendidos",Espírito Santo,209.9
"Liquidificador Britânia BLQ970V Turbo 900W 2,6L","99,90",-23%,4.8,"2,9mil vendidos",Santa Catarina,129.7402597402597
【Promoção】Pé Calcador De Fazer Overlock Em Zig Zag Com Corte,"38,90",-52%,4.8,429 vendidos,Internacional,81.04166666666667
Conversor Digital de TV Intelbras com Gravador CD 700,"123,40",-9%,4.8,66 vendidos,São Paulo,135.6043956043956
Refrigerador Brastemp Side Inverse 3 Portas Frost Free 554 Litros Inox 127V BRO85AK,"7.099,00",-30%, , ,Espírito Santo,10141.42857142857
Aspirador de Pó Britânia 2 em 1 Preto com Laranja BAS1010P Filtro Hepa 1000W,"209,90", ,4.9,"10,5mil vendidos",Espírito Santo,209.9
CFSTORE Home Fogão A Gás Capa À Prova De Vento Do Protetor Suporte De Reflexão De Fogo Tampa Da Cozinha D9E9,"37,99",-40%,4.6,409 vendidos,Internacional,63.31666666666667
Controle Remoto para Ventilador e Luminária de Teto - Capacitivo - Living5040,"129,91",-5%,4.6,24 vendidos,Minas Gerais,136.7473684210526
Aspirador de Pó Vertical 2 em 1 Karcher VCL 1 com Filtro Hepa 1000W,"179,00",-40%,4.9,"1,6mil vendidos",São Paulo,298.3333333333334
Fogão Cooktop de Philco Elétrico Volcano 4 bocas PCT44VC Preto 220v,"1.399,90", ,4.9,164 vendidos,Espírito Santo,1399.9
Forno Elétrico Philco PFE70I 70 Litros Inox,"989,90", ,4.8,191 vendidos,Espírito Santo,989.9
VISWE interruptor inteligente alexa interruptor inteligente com tomada tuya interruptor inteligente，118*72mm painel de vidro,"81,74",-29%,4.9,233 vendidos,Internacional,115.1267605633803
Cozedor Frigideira A Vapor Multiuso Elétrico Cozinha Ovos,"123,50",-5%, ,2 vendidos,São Paulo,130.0
Mini máquina de lavar roupa dobrável portátil moderna máquina de lavar automática roupa interior de viagem bivolt TINNY YOU,"99,99",-75%,4.5,"2,8mil vendidos",São Paulo,399.96
Multiprocessador PMP1600 127v 1700w Philco,"370,00",-60%,4.9,209 vendidos,Santa Catarina,925.0
"Campainha inteligente sem fio, 300m de distância sensível, 5 velocidades de Volume ajustável e 60 toques, Campainha doméstica à prova d'água (Conjunto de campainha clássica: 1 Botão +1 Receptor)","46,07",-37%,4.9,186 vendidos,Internacional,73.12698412698413
Chromecast Google Tv  4k 8gb Snow Com 2gb De Memória Ram,"539,87",-6%, ,1 vendidos,São Paulo,574.3297872340426
"Batedeira Britânia Perola 550 Neve 4,3L 500W","109,90",-15%,4.9,"1,2mil vendidos",Santa Catarina,129.2941176470588
Purificador de Água Natural Consul Branco CPC31ABONA,"279,17",-16%,4.9,399 vendidos,São Paulo,332.3452380952381
Novo H69A73 Substituição Do Controle Remoto Por Voz Para O Amazon Fire TV Stick Lite Com,"35,98",-73%,4.8,625 vendidos,Internacional,133.2592592592592
Aspirador Portátil Automotivo Potente Recarregável,"123,40",-5%,2.0,1 vendidos,São Paulo,129.8947368421053
"Fritadeira Air Fryer Philco Jumbo Inox 7,2L  PFR06PI","449,90",-10%,4.9,1mil vendidos,Santa Catarina,499.8888888888889
Fogão Elétrico Portátil Fogareiro Cooktop 2500w Camping Disco Indução Ou Espiral,"119,99",-52%,4.8,367 vendidos,São Paulo,249.9791666666667
Moedor Multifuncional de Café e Especiarias 110V com Design em Aço Inoxidável 4 Lâminas,"40,99",-44%,4.8,422 vendidos,São Paulo,73.19642857142857
Moving Head Spot Led Osram 60w 8 Cores + 8 Desenhos Dmx Dj,"758,57",-5%, ,1 vendidos,São Paulo,798.4947368421053
Máquina De Algodão Doce Portátil - 110v,"108,99",-45%,4.7,696 vendidos,São Paulo,198.1636363636363
Mini Maquina De Donuts Café Da Manhã Capacidade Para 7 Mini Rosquinha Elétrica 110V Portátil,"119,99",-23%, , ,São Paulo,155.8311688311688
"Visor Digital De Porta Peephole Câmera Sino De 2,8 Polegadas Tela LCD Visão Noturna Tiro Fotográfico Monitoramento Para Segurança Doméstica [19] [Nova Chegada]","169,99",-60%,4.9,352 vendidos,Internacional,424.975
